country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Faeroe Islands,Helnabrekka,-6.5894,62.2366,9/22/2022,9/22/2022,Other,Herring Gull,1,1,wild,4512,107593
Faeroe Islands,Saksun,-7.1806,62.2474,6/3/2022,6/3/2022,Other,Great Skua,1,1,wild,4512,104628
Faeroe Islands,Syðrugøta,-6.753,62.1859,6/10/2022,6/10/2022,Other,Northern Gannet,1,1,wild,4512,104626
Faeroe Islands,Vágur,-6.812,61.4748,5/15/2022,5/15/2022,Other,Great Skua,1,1,wild,4512,104631
Faeroe Islands,Skúvoy,-6.8252,61.7661,5/8/2022,5/8/2022,Other,Great Skua;Great black-backed Gull,7,7,wild,4512,104498
Switzerland,Zürich,8.542,47.374,2/23/2023,12/31/1969,Body of water,Mute Swan,1,1,wild,4733,115972
Switzerland,Murten,7.116,46.931,3/2/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115971
Switzerland,Zürich,8.539,47.382,3/7/2023,12/31/1969,Body of water,Mute Swan,1,1,wild,4733,115970
Switzerland,Zürich,8.547,47.361,3/7/2023,12/31/1969,Body of water,Mute Swan,1,1,wild,4733,115968
Switzerland,Wädenswil,8.674,47.23,3/6/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115967
Switzerland,Wädenswil,8.675,47.235,3/6/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115966
Switzerland,Thalwil,8.572,47.291,3/6/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,115965
Switzerland,Rüschlikon,8.571,47.308,3/6/2023,12/31/1969,Body of water,Black-headed Gull,3,3,wild,4733,115964
Switzerland,Küsnacht,8.577,47.316,3/6/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,115963
Switzerland,Lac de Neuchâtel,6.952,46.996,3/6/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115961
Switzerland,Halwilersee,8.212,47.291,3/6/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,115959
Switzerland,Zürich,8.532,47.386,3/5/2023,12/31/1969,Other,Mute Swan,1,1,wild,4733,115958
Switzerland,Altnau,9.27,47.623,3/5/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,115957
Switzerland,Kreuzlingen,9.194,47.648,3/3/2023,12/31/1969,Body of water,Black-headed Gull,3,3,wild,4733,115955
Switzerland,Lac Léman,6.692,46.499,3/4/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115956
Switzerland,Schaffhausen,8.6304,47.6969,3/3/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,115954
Switzerland,Zürich,8.55,47.353,3/2/2023,12/31/1969,Body of water,Mute Swan,1,1,wild,4733,115953
Switzerland,Lac Léman,6.8517,46.456,3/2/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115952
Switzerland,Lac de Neuchâtel,6.873,46.966,3/2/2023,12/31/1969,Body of water,Black-headed Gull,0,1,wild,4733,115951
Switzerland,Baldeggersee,8.275,47.185,3/2/2023,12/31/1969,Body of water,Black-headed Gull,3,3,wild,4733,115950
Switzerland,Lac Léman,6.642,46.504,3/1/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115949
Switzerland,Ermatingen,9.085,47.674,3/1/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,115948
Switzerland,Stein am Rhein,8.855,47.66,3/1/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115947
Switzerland,Lac de Neuchâtel,6.933,46.99,3/1/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115946
Switzerland,Kräiligen,7.535,47.152,3/1/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,115945
Switzerland,Thalwil,8.569,47.296,2/28/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,115467
Switzerland,Oberrieden,8.584,47.274,2/28/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115465
Switzerland,Küsnacht,8.575,47.317,2/28/2023,12/31/1969,Body of water,Black-headed Gull,6,6,wild,4733,115464
Switzerland,Horgen,8.607,47.259,2/28/2023,12/31/1969,Body of water,Black-headed Gull,4,4,wild,4733,115462
